,년(Annual),시도,시군구,계
377,2022,경기,안양시동안구,21
378,2022,경기,부천시,53
379,2022,경기,광명시,38
380,2022,경기,평택시,457
381,2022,경기,동두천시,95
382,2022,경기,안산시(계),156
383,2022,경기,안산시상록구,57
384,2022,경기,안산시단원구,98
385,2022,경기,고양시(계),268
386,2022,경기,고양시덕양구,165
387,2022,경기,고양시일산동구,59
388,2022,경기,고양시일산서구,42
389,2022,경기,과천시,35
390,2022,경기,구리시,33
391,2022,경기,남양주시,458
392,2022,경기,오산시,42
393,2022,경기,시흥시,139
394,2022,경기,군포시,36
395,2022,경기,의왕시,54
396,2022,경기,하남시,92
397,2022,경기,용인시(계),591
398,2022,경기,용인시처인구,467
399,2022,경기,용인시기흥구,81
400,2022,경기,용인시수지구,42
401,2022,경기,파주시,673
402,2022,경기,이천시,461
403,2022,경기,안성시,553
404,2022,경기,김포시,276
405,2022,경기,화성시,700
406,2022,경기,광주시,430
407,2022,경기,양주시,310
408,2022,경기,포천시,827
409,2022,경기,여주시,608
410,2022,경기,연천군,677
411,2022,경기,가평군,843
412,2022,경기,양평군,877
413,2022,강원,강원,6209
414,2022,강원,춘천시,1
415,2022,강원,원주시,868
416,2022,강원,강릉시,1
417,2022,강원,동해시,180
418,2022,강원,태백시,303
419,2022,강원,속초시,105
420,2022,강원,삼척시,1
421,2022,강원,홍천군,1
422,2022,강원,횡성군,997
423,2022,강원,영월군,1
424,2022,강원,평창군,1
425,2022,강원,정선군,1
426,2022,강원,철원군,889
427,2022,강원,화천군,909
428,2022,강원,양구군,661
429,2022,강원,인제군,1
430,2022,강원,고성군,660
431,2022,강원,양양군,629
432,2022,충북,충북,8342
433,2022,충북,청주시(계),941
434,2022,충북,청주시상당구,404
435,2022,충북,청주시서원구,122
436,2022,충북,청주시흥덕구,199
437,2022,충북,청주시청원구,215
438,2022,충북,충주시,983
439,2022,충북,제천시,882
440,2022,충북,보은군,584
441,2022,충북,옥천군,537
442,2022,충북,영동군,846
443,2022,충북,증평군,81
444,2022,충북,진천군,407
445,2022,충북,괴산군,841
446,2022,충북,음성군,520
447,2022,충북,단양군,780
448,2022,충남,충남,8875
449,2022,충남,천안시(계),636
450,2022,충남,천안시동남구,438
451,2022,충남,천안시서북구,197
452,2022,충남,공주시,864
453,2022,충남,보령시,586
454,2022,충남,아산시,542
455,2022,충남,서산시,742
456,2022,충남,논산시,556
457,2022,충남,계룡시,60
458,2022,충남,당진시,705
459,2022,충남,금산군,577
460,2022,충남,부여군,624
461,2022,충남,서천군,366
462,2022,충남,청양군,479
463,2022,충남,홍성군,446
464,2022,충남,예산군,542
465,2022,충남,태안군,515
466,2022,전북,전북,8272
467,2022,전북,전주시(계),206
468,2022,전북,전주시완산구,92
469,2022,전북,전주시덕진구,113
470,2022,전북,군산시,397
471,2022,전북,익산시,506
472,2022,전북,정읍시,693
473,2022,전북,남원시,752
474,2022,전북,김제시,545
475,2022,전북,완주군,821
476,2022,전북,진안군,789
477,2022,전북,무주군,632
478,2022,전북,장수군,533
479,2022,전북,임실군,597
480,2022,전북,순창군,495
481,2022,전북,고창군,607
482,2022,전북,부안군,494
483,2022,전남,전남,11307
484,2022,전남,목포시,51
485,2022,전남,여수시,512
486,2022,전남,순천시,910
487,2022,전남,나주시,608
488,2022,전남,광양시,464
489,2022,전남,담양군,455
490,2022,전남,곡성군,547
491,2022,전남,구례군,442
492,2022,전남,고흥군,807
493,2022,전남,보성군,664
494,2022,전남,화순군,787
495,2022,전남,장흥군,622
496,2022,전남,강진군,500
497,2022,전남,해남군,1
498,2022,전남,영암군,612
499,2022,전남,무안군,450
500,2022,전남,함평군,392
501,2022,전남,영광군,474
502,2022,전남,장성군,518
503,2022,전남,완도군,396
504,2022,전남,진도군,440
505,2022,전남,신안군,655
506,2022,경북,경북,11549
507,2022,경북,포항시(계),1
508,2022,경북,포항시남구,394
509,2022,경북,포항시북구,736
510,2022,경북,경주시,1
511,2022,경북,김천시,1
512,2022,경북,안동시,1
513,2022,경북,구미시,615
514,2022,경북,영주시,670
515,2022,경북,영천시,919
516,2022,경북,상주시,1
517,2022,경북,문경시,912
518,2022,경북,경산시,411
519,2022,경북,군위군,614
520,2022,경북,의성군,1
521,2022,경북,청송군,846
522,2022,경북,영양군,815
523,2022,경북,영덕군,741
524,2022,경북,청도군,694
525,2022,경북,고령군,384
526,2022,경북,성주군,616
527,2022,경북,칠곡군,451
528,2022,경북,예천군,661
529,2022,경북,봉화군,1
530,2022,경북,울진군,990
531,2022,경북,울릉군,73
532,2022,경남,경남,11278
533,2022,경남,창원시(계),749
534,2022,경남,창원시의창구,204
535,2022,경남,창원시성산구,89
536,2022,경남,창원시마산합포구,241
537,2022,경남,창원시마산회원구,90
538,2022,경남,창원시진해구,124
539,2022,경남,진주시,712
540,2022,경남,통영시,239
541,2022,경남,사천시,398
542,2022,경남,김해시,463
543,2022,경남,밀양시,798
544,2022,경남,거제시,403
545,2022,경남,양산시,485
546,2022,경남,의령군,482
547,2022,경남,함안군,416
548,2022,경남,창녕군,532
549,2022,경남,고성군,518
550,2022,경남,남해군,357
551,2022,경남,하동군,674
552,2022,경남,산청군,794
553,2022,경남,함양군,724
554,2022,경남,거창군,803
555,2022,경남,합천군,983
556,2022,제주,제주,1849
557,2022,제주,제주시,978
558,2022,제주,서귀포시,871
559,2023,전국,전국,100
560,2023,서울,서울,591
561,2023,서울,종로구,23
562,2023,서울,중구,9
563,2023,서울,용산구,21
564,2023,서울,성동구,16
565,2023,서울,광진구,17
566,2023,서울,동대문구,14
567,2023,서울,중랑구,18
568,2023,서울,성북구,24
569,2023,서울,강북구,23
570,2023,서울,도봉구,20
571,2023,서울,노원구,35
572,2023,서울,은평구,29
573,2023,서울,서대문구,17
574,2023,서울,마포구,23
575,2023,서울,양천구,17
576,2023,서울,강서구,41
577,2023,서울,구로구,20
578,2023,서울,금천구,13
579,2023,서울,영등포구,24
580,2023,서울,동작구,16
581,2023,서울,관악구,29
582,2023,서울,서초구,46
583,2023,서울,강남구,39
584,2023,서울,송파구,33
585,2023,서울,강동구,24
586,2023,부산,부산,765
587,2023,부산,중구,3
588,2023,부산,서구,13
